candidate_id,age,gender,height_cm,weight_kg,matric_percentage,inter_percentage,cgpa,physical_fitness_score,medical_status,marital_status,city,computer_skills,leadership_score,communication_score,branch_preference,eligibility_status
PN-16245,18,Female,166.2,60.8,44.0,53.82,0.0,84,Fit,Single,Karachi,Intermediate,77,78,Combat,Not Eligible
PN-16814,16,Male,172.3,73.7,55.61,61.02,2.43,67,Unfit,Married,Islamabad,Beginner,51,55,Medical Corps,Not Eligible
PN-17020,20,Male,172.6,66.9,72.39,71.43,2.45,56,Fit,Single,Lahore,Beginner,35,50,Naval Aviation,Eligible
PN-15538,25,Male,163.6,58.7,50.35,40.09,1.59,39,Fit,Single,Hyderabad,Advanced,57,53,Combat,Not Eligible
PN-16308,26,Male,171.4,96.5,71.14,77.99,2.87,55,Fit,Single,Karachi,Advanced,79,79,Logistics,Not Eligible
PN-12795,18,Male,164.4,79.9,52.65,59.35,2.3,58,Fit,Married,Hyderabad,Intermediate,69,46,IT & Cyber,Eligible
PN-12222,20,Female,149.3,65.5,64.61,65.57,2.33,62,Fit,Single,Faisalabad,Beginner,65,61,Combat,Eligible
PN-15283,19,Male,180.0,63.2,64.5,61.51,2.0,69,Fit,Married,Islamabad,Beginner,51,55,Logistics,Eligible
PN-12834,18,Male,168.7,74.2,55.22,64.46,2.49,80,Fit,Married,Islamabad,Intermediate,55,72,Combat,Eligible
PN-14515,34,Male,178.6,66.7,79.93,88.39,4.0,45,Unfit,Single,Quetta,Intermediate,73,67,Marine Engineering,Not Eligible
PN-12923,25,Male,174.5,58.6,81.84,89.99,0.0,62,Fit,Single,Quetta,Advanced,63,71,Logistics,Eligible
PN-12111,23,Male,164.2,55.5,79.05,67.35,3.2,47,Fit,Married,Karachi,Intermediate,49,64,Marine Engineering,Not Eligible
PN-18103,18,Male,162.1,69.1,53.31,57.71,2.57,41,Fit,Single,Hyderabad,Intermediate,44,60,Naval Aviation,Not Eligible
PN-12023,25,Male,181.2,58.0,82.67,84.07,3.11,63,Fit,Single,Multan,Intermediate,53,48,Marine Engineering,Eligible
PN-17235,21,Female,161.3,56.0,44.85,50.22,0.0,64,Fit,Single,Karachi,Intermediate,76,70,Marine Engineering,Not Eligible
PN-12068,25,Male,181.1,57.1,43.55,55.41,0.0,58,Fit,Single,Karachi,Beginner,58,60,Marine Engineering,Not Eligible
PN-11881,20,Male,189.6,78.5,63.04,57.98,0.0,81,Fit,Single,Karachi,Advanced,50,47,Combat,Eligible
PN-13026,22,Female,153.3,51.5,68.5,48.55,1.61,66,Fit,Single,Islamabad,Advanced,67,67,Marine Engineering,Not Eligible
PN-14465,19,Female,165.2,42.0,54.53,75.58,3.35,48,Unfit,Single,Peshawar,Beginner,54,56,IT & Cyber,Not Eligible
PN-11298,20,Female,152.3,62.2,55.91,62.26,2.64,62,Fit,Single,Karachi,Intermediate,88,82,Marine Engineering,Eligible
PN-18452,23,Male,177.3,97.0,79.56,65.91,2.63,63,Unfit,Single,Karachi,Beginner,51,75,IT & Cyber,Not Eligible
PN-10711,17,Male,177.1,66.8,80.89,57.31,0.0,48,Unfit,Single,Islamabad,Intermediate,61,64,IT & Cyber,Not Eligible
PN-13862,25,Male,169.3,75.8,52.95,45.81,0.0,69,Fit,Single,Rawalpindi,Beginner,60,52,IT & Cyber,Not Eligible
PN-11935,23,Female,161.9,67.5,66.6,68.35,2.9,84,Unfit,Married,Rawalpindi,Intermediate,28,49,Combat,Not Eligible
PN-16418,18,Male,177.8,70.7,69.8,64.18,2.73,69,Unfit,Single,Lahore,Advanced,82,64,Marine Engineering,Not Eligible
PN-15156,21,Male,166.3,74.8,83.31,80.59,0.0,71,Fit,Married,Karachi,Beginner,49,66,Combat,Eligible
PN-11288,28,Male,164.4,72.6,67.81,73.58,0.0,19,Fit,Single,Faisalabad,Beginner,59,62,Medical Corps,Not Eligible
PN-15786,17,Female,165.9,66.1,58.57,74.19,3.54,68,Fit,Single,Quetta,Intermediate,64,74,Marine Engineering,Eligible
PN-18317,21,Male,170.2,68.5,56.76,68.74,2.92,57,Fit,Single,Islamabad,Advanced,90,72,Combat,Eligible
PN-15453,21,Male,186.1,68.8,70.77,89.86,3.8,100,Fit,Single,Multan,Beginner,43,56,IT & Cyber,Eligible
PN-14829,25,Male,177.9,75.1,68.87,65.96,2.59,39,Unfit,Single,Hyderabad,Beginner,34,54,Logistics,Not Eligible
PN-14185,22,Female,161.2,54.5,56.72,52.82,2.11,43,Unfit,Married,Lahore,Beginner,69,65,Logistics,Not Eligible
PN-10701,19,Female,151.5,52.7,80.68,74.49,0.0,69,Unfit,Single,Karachi,Intermediate,45,46,Combat,Not Eligible
PN-14978,24,Male,165.3,72.3,82.06,61.59,2.79,76,Fit,Single,Faisalabad,Beginner,68,59,Marine Engineering,Eligible
PN-16826,20,Male,177.4,67.6,81.46,61.86,0.0,55,Fit,Single,Peshawar,Advanced,69,75,Logistics,Eligible
PN-14417,34,Male,179.6,75.3,66.92,64.85,0.0,47,Fit,Single,Peshawar,Intermediate,37,53,Medical Corps,Not Eligible
PN-15642,16,Male,172.5,85.9,54.14,39.54,1.5,72,Fit,Single,Karachi,Advanced,54,66,Combat,Not Eligible
PN-11331,19,Male,166.6,70.4,51.06,48.02,1.8,49,Fit,Single,Lahore,Advanced,56,46,Marine Engineering,Not Eligible
PN-13468,16,Male,183.9,50.6,78.66,68.99,0.0,55,Unfit,Single,Islamabad,Beginner,56,50,Logistics,Not Eligible
PN-11966,21,Female,152.9,65.0,71.05,58.01,2.56,63,Fit,Married,Karachi,Intermediate,68,72,Combat,Eligible
PN-13693,23,Female,155.3,59.4,84.03,77.44,0.0,88,Fit,Single,Faisalabad,Beginner,86,82,Medical Corps,Eligible
PN-18447,21,Male,175.9,70.2,88.22,78.13,2.9,64,Fit,Single,Karachi,Beginner,52,54,IT & Cyber,Eligible
PN-17489,16,Male,175.6,89.5,33.0,40.94,1.5,67,Fit,Single,Faisalabad,Intermediate,68,71,IT & Cyber,Not Eligible
PN-17040,18,Male,171.6,66.1,57.85,46.92,2.12,61,Fit,Single,Karachi,Beginner,50,52,Medical Corps,Not Eligible
PN-11394,19,Male,158.9,74.0,75.26,72.31,0.0,78,Unfit,Married,Gujranwala,Beginner,77,80,Logistics,Not Eligible
PN-17261,22,Male,161.4,54.2,67.45,75.02,2.95,43,Fit,Single,Islamabad,Beginner,70,75,IT & Cyber,Not Eligible
PN-17509,17,Male,163.6,58.6,67.92,59.66,0.0,75,Fit,Single,Karachi,Intermediate,57,43,IT & Cyber,Eligible
PN-17418,23,Male,172.7,85.1,100.0,87.07,3.37,66,Fit,Single,Faisalabad,Advanced,55,39,Marine Engineering,Eligible
PN-14323,21,Male,165.5,75.0,70.67,52.68,1.84,52,Fit,Married,Lahore,Intermediate,68,70,Marine Engineering,Eligible
PN-11503,25,Male,161.0,71.8,67.81,51.62,2.25,61,Fit,Single,Lahore,Intermediate,68,73,IT & Cyber,Eligible
PN-12314,18,Male,171.4,62.6,43.32,43.12,2.24,54,Fit,Single,Lahore,Intermediate,61,72,IT & Cyber,Not Eligible
PN-15817,28,Male,169.2,68.1,37.73,33.0,1.5,62,Fit,Single,Karachi,Intermediate,53,47,Logistics,Not Eligible
PN-10034,22,Male,168.0,78.0,65.78,78.78,0.0,88,Fit,Single,Quetta,Beginner,53,64,Naval Aviation,Eligible
PN-12964,24,Male,168.5,78.0,48.85,85.6,0.0,52,Fit,Married,Multan,Beginner,59,67,Marine Engineering,Not Eligible
PN-12150,18,Female,157.0,68.7,67.44,74.15,3.0,56,Fit,Single,Faisalabad,Advanced,55,60,Naval Aviation,Eligible
PN-15875,18,Male,177.4,85.9,80.72,77.65,0.0,87,Unfit,Married,Faisalabad,Advanced,60,74,Combat,Not Eligible
PN-13456,22,Male,173.2,70.3,99.72,97.48,4.0,75,Fit,Single,Rawalpindi,Intermediate,69,55,Naval Aviation,Eligible
PN-11673,16,Male,169.2,71.3,79.38,69.51,0.0,57,Fit,Single,Peshawar,Advanced,52,59,IT & Cyber,Eligible
PN-17464,19,Male,168.6,85.2,56.36,80.37,0.0,61,Unfit,Single,Islamabad,Beginner,34,58,Combat,Not Eligible
PN-11264,21,Female,155.7,44.5,76.27,76.13,2.96,43,Fit,Single,Karachi,Advanced,49,56,Marine Engineering,Not Eligible
PN-11196,19,Male,166.0,60.8,47.1,53.92,2.01,68,Unfit,Married,Islamabad,Intermediate,69,60,Medical Corps,Not Eligible
PN-14880,23,Male,172.3,97.1,75.43,88.97,3.32,62,Fit,Single,Lahore,Intermediate,55,73,Marine Engineering,Eligible
